[2024/01/31 20:50:25] - <__main__.Args object at 0x146cf8b43580>
[2024/01/31 20:50:47] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 20:51:03] - Task was destroyed but it is pending!
task: <Task pending name='Task-1' coro=<Kernel.poll_control_queue() running at /opt/conda/lib/python3.8/site-packages/ipykernel/kernelbase.py:273> wait_for=<Future finished result=<Future at 0x...state=pending>> cb=[_chain_future.<locals>._call_set_state() at /opt/conda/lib/python3.8/asyncio/futures.py:367]>
[2024/01/31 20:51:08] - <__main__.Args object at 0x14a1739e6ee0>
[2024/01/31 20:51:10] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 20:52:29] - 0 	 67.2 	 	 12.2 	 	 0.1000 	 1.9858 	 0.2713 	 2.1642 	 	 0.1940 	 	 1.7467 	 0.3602 	 1.9797 	 	 0.2585
[2024/01/31 20:53:47] - 1 	 64.9 	 	 12.2 	 	 0.1000 	 1.7039 	 0.3890 	 1.9773 	 	 0.2616 	 	 1.6054 	 0.4612 	 1.8643 	 	 0.3022
[2024/01/31 20:54:10] - <__main__.Args object at 0x14a1c06f1fa0>
[2024/01/31 20:54:12] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 20:55:31] - 0 	 67.1 	 	 12.2 	 	 0.1000 	 1.9826 	 0.2723 	 2.1626 	 	 0.1949 	 	 1.7506 	 0.3505 	 2.0005 	 	 0.2562
[2024/01/31 20:56:49] - 1 	 65.0 	 	 12.2 	 	 0.1000 	 1.7081 	 0.3856 	 1.9800 	 	 0.2604 	 	 1.6044 	 0.4515 	 1.8676 	 	 0.3005
[2024/01/31 20:58:08] - 2 	 65.5 	 	 12.2 	 	 0.1000 	 1.5896 	 0.4402 	 1.9059 	 	 0.2848 	 	 1.5692 	 0.4646 	 1.8459 	 	 0.3135
[2024/01/31 20:59:26] - 3 	 65.0 	 	 12.3 	 	 0.1000 	 1.4884 	 0.4856 	 1.8418 	 	 0.3049 	 	 1.3866 	 0.5330 	 1.7320 	 	 0.3494
[2024/01/31 21:00:45] - 4 	 65.1 	 	 12.3 	 	 0.1000 	 1.4056 	 0.5216 	 1.7901 	 	 0.3227 	 	 1.3173 	 0.5364 	 1.7084 	 	 0.3538
[2024/01/31 21:02:03] - 5 	 65.5 	 	 12.2 	 	 0.1000 	 1.3300 	 0.5601 	 1.7424 	 	 0.3440 	 	 1.2474 	 0.6013 	 1.6575 	 	 0.3621
[2024/01/31 21:03:21] - 6 	 65.1 	 	 12.2 	 	 0.1000 	 1.2705 	 0.5875 	 1.7026 	 	 0.3564 	 	 1.2001 	 0.6167 	 1.6244 	 	 0.4034
[2024/01/31 21:04:40] - 7 	 65.1 	 	 12.2 	 	 0.1000 	 1.2240 	 0.6083 	 1.6742 	 	 0.3690 	 	 1.1983 	 0.6114 	 1.6049 	 	 0.4059
[2024/01/31 21:06:06] - <__main__.Args object at 0x14ca93b050a0>
[2024/01/31 21:06:08] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 21:07:27] - 0 	 66.8 	 	 12.2 	 	 0.1000 	 1.9863 	 0.2707 	 2.1639 	 	 0.1935 	 	 1.7499 	 0.3571 	 1.9882 	 	 0.2596
[2024/01/31 21:08:45] - 1 	 64.9 	 	 12.2 	 	 0.1000 	 1.7078 	 0.3857 	 1.9805 	 	 0.2602 	 	 1.5977 	 0.4597 	 1.8644 	 	 0.2984
[2024/01/31 21:15:28] - <__main__.Args object at 0x154514dabac0>
[2024/01/31 21:15:30] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 21:16:50] - 0 	 67.2 	 	 12.3 	 	 0.1000 	 1.9848 	 0.2717 	 2.1631 	 	 0.1954 	 	 1.7418 	 0.3648 	 1.9771 	 	 0.2619
[2024/01/31 21:18:08] - 1 	 65.1 	 	 12.2 	 	 0.1000 	 1.7107 	 0.3852 	 1.9816 	 	 0.2594 	 	 1.6009 	 0.4576 	 1.8690 	 	 0.2978
[2024/01/31 21:19:25] - 2 	 65.0 	 	 12.2 	 	 0.1000 	 1.5901 	 0.4391 	 1.9063 	 	 0.2844 	 	 1.5625 	 0.4598 	 1.8421 	 	 0.3101
[2024/01/31 21:20:43] - 3 	 65.1 	 	 12.3 	 	 0.1000 	 1.4895 	 0.4851 	 1.8425 	 	 0.3061 	 	 1.3903 	 0.5296 	 1.7358 	 	 0.3465
[2024/01/31 21:22:01] - 4 	 65.0 	 	 12.2 	 	 0.1000 	 1.4087 	 0.5210 	 1.7921 	 	 0.3226 	 	 1.3232 	 0.5324 	 1.7123 	 	 0.3535
[2024/01/31 21:23:19] - 5 	 65.2 	 	 12.2 	 	 0.1000 	 1.3318 	 0.5589 	 1.7438 	 	 0.3443 	 	 1.2590 	 0.5947 	 1.6570 	 	 0.3648
[2024/01/31 21:24:36] - 6 	 65.0 	 	 12.3 	 	 0.1000 	 1.2735 	 0.5865 	 1.7051 	 	 0.3540 	 	 1.2112 	 0.6139 	 1.6265 	 	 0.4059
